DATE,DOWNLOAD,ERROR
2020-01-23T04:15:02.396Z,-1,
2020-01-23T04:20:02.399Z,47.26784,
2020-01-23T04:25:02.425Z,47.26784,
2020-01-23T04:30:02.434Z,47.34976,
2020-01-23T04:35:02.461Z,47.2064,
2020-01-23T04:40:02.437Z,47.34976,
2020-01-23T04:45:02.460Z,46.61248,
2020-01-23T04:50:02.474Z,47.26784,
2020-01-23T04:55:02.508Z,47.39072,
2020-01-23T05:00:02.527Z,47.34976,
2020-01-23T05:05:02.526Z,47.37024,
2020-01-23T05:10:02.561Z,47.37024,
2020-01-23T05:15:02.536Z,46.94016,
2020-01-23T05:20:02.561Z,47.26784,
2020-01-23T05:25:02.570Z,47.43168,
2020-01-23T05:30:02.612Z,47.43168,
2020-01-23T05:35:02.618Z,47.39072,
2020-01-23T05:40:02.613Z,47.34976,
2020-01-23T05:45:02.626Z,47.34976,
2020-01-23T05:50:02.651Z,47.26784,
2020-01-23T05:55:02.650Z,47.34976,
2020-01-23T06:00:02.656Z,46.03904,
2020-01-23T06:05:02.711Z,47.34976,
2020-01-23T06:10:02.710Z,47.34976,
2020-01-23T06:15:02.729Z,47.26784,
2020-01-23T06:20:02.750Z,47.26784,
2020-01-23T06:25:02.744Z,47.43168,
2020-01-23T06:30:02.763Z,47.12448,
2020-01-23T06:35:02.766Z,47.24736,
2020-01-23T06:40:02.799Z,47.43168,
2020-01-23T06:45:02.813Z,47.34976,
2020-01-23T06:50:02.830Z,47.5136,
2020-01-23T06:55:02.841Z,47.43168,
2020-01-23T07:00:02.871Z,47.65696,
2020-01-23T07:05:02.871Z,47.43168,
2020-01-23T07:10:02.874Z,47.26784,
2020-01-23T07:15:02.900Z,47.34976,
2020-01-23T07:20:02.911Z,47.34976,
2020-01-23T07:25:02.933Z,47.22688,
2020-01-23T07:30:02.949Z,47.34976,
2020-01-23T07:35:02.971Z,47.2064,
2020-01-23T07:40:02.986Z,48.70144,
2020-01-23T07:45:02.997Z,47.34976,
2020-01-23T07:50:02.999Z,47.34976,
2020-01-23T07:55:03.008Z,47.34976,
2020-01-23T08:00:03.032Z,46.94016,
2020-01-23T08:05:03.048Z,47.28832,
2020-01-23T08:10:03.066Z,47.104,
2020-01-23T08:15:03.088Z,47.43168,
2020-01-23T08:20:03.090Z,47.34976,
2020-01-23T08:25:03.108Z,47.18592,
2020-01-23T08:30:03.104Z,47.43168,
2020-01-23T08:35:03.124Z,47.34976,
2020-01-23T08:40:03.143Z,47.26784,
2020-01-23T08:45:03.146Z,47.43168,
2020-01-23T08:50:03.178Z,47.43168,
2020-01-23T08:55:03.194Z,47.34976,
2020-01-23T09:00:03.210Z,47.65696,
2020-01-23T09:05:03.256Z,48.59904,
2020-01-23T09:10:03.238Z,47.28832,
2020-01-23T09:15:03.258Z,47.32928,
2020-01-23T09:20:03.275Z,47.32928,
2020-01-23T09:25:02.293Z,47.26784,
2020-01-23T09:30:02.314Z,47.02208,
2020-01-23T09:35:02.319Z,47.3088,
2020-01-23T09:40:02.334Z,47.34976,
2020-01-23T09:45:02.354Z,47.18592,
2020-01-23T09:50:02.383Z,34.32448,
2020-01-23T09:55:02.389Z,45.42464,
2020-01-23T10:00:02.408Z,28.50816,
2020-01-23T10:05:02.436Z,36.70016,
2020-01-23T10:10:02.439Z,46.91968,
2020-01-23T10:15:02.484Z,47.47264,
2020-01-23T10:20:02.487Z,25.37472,
2020-01-23T10:25:02.506Z,32.0512,
2020-01-23T10:30:02.519Z,39.75168,
2020-01-23T10:35:02.544Z,32.13312,
2020-01-23T10:40:02.548Z,33.36192,
2020-01-23T10:45:02.534Z,27.70944,
2020-01-23T10:50:02.552Z,30.65856,
2020-01-23T10:55:02.580Z,37.45792,
2020-01-23T11:00:02.604Z,47.104,
2020-01-23T11:05:02.593Z,31.9488,
2020-01-23T11:10:02.612Z,27.9552,
2020-01-23T11:15:02.622Z,45.38368,
2020-01-23T11:20:02.644Z,23.90016,
2020-01-23T11:25:02.689Z,23.92064,
2020-01-23T11:30:02.714Z,29.34784,
2020-01-23T11:35:02.732Z,39.15776,
2020-01-23T11:40:02.727Z,24.82176,
2020-01-23T11:45:02.745Z,42.35264,
2020-01-23T11:50:02.753Z,27.68896,
2020-01-23T11:55:02.779Z,30.22848,
2020-01-23T12:00:02.826Z,31.04768,
2020-01-23T12:05:02.818Z,30.63808,
2020-01-23T12:10:02.849Z,24.33024,
2020-01-23T12:15:02.838Z,47.26784,
2020-01-23T12:20:02.869Z,47.24736,
2020-01-23T12:25:02.865Z,47.26784,
2020-01-23T12:30:02.900Z,47.26784,
2020-01-23T12:35:02.905Z,47.34976,
2020-01-23T12:40:02.909Z,47.9232,
2020-01-23T12:45:02.923Z,47.34976,
2020-01-23T12:50:02.944Z,47.28832,
2020-01-23T12:55:02.973Z,47.37024,
2020-01-23T13:00:02.969Z,47.26784,
2020-01-23T13:05:02.974Z,47.02208,
2020-01-23T13:10:03.017Z,47.34976,
2020-01-23T13:15:03.026Z,47.3088,
2020-01-23T13:20:03.034Z,47.55456,
2020-01-23T13:25:03.043Z,47.59552,
2020-01-23T13:30:03.088Z,47.26784,
2020-01-23T13:35:03.069Z,47.37024,
2020-01-23T13:40:03.083Z,47.45216,
2020-01-23T13:45:03.091Z,47.26784,
2020-01-23T13:50:03.112Z,48.7424,
2020-01-23T13:55:03.136Z,47.34976,
2020-01-23T14:00:03.149Z,47.18592,
2020-01-23T14:05:03.146Z,46.94016,
2020-01-23T14:10:03.165Z,47.43168,
2020-01-23T14:15:03.193Z,47.3088,
2020-01-23T14:20:03.186Z,47.34976,
2020-01-23T14:25:03.211Z,47.26784,
2020-01-23T14:30:03.232Z,47.34976,
2020-01-23T14:35:03.243Z,47.39072,
2020-01-23T14:40:03.259Z,47.34976,
2020-01-23T14:45:02.279Z,47.37024,
2020-01-23T14:50:02.290Z,47.34976,
2020-01-23T14:55:02.291Z,46.85824,
2020-01-23T15:00:02.346Z,47.2064,
2020-01-23T15:05:02.349Z,47.26784,
2020-01-23T15:10:02.353Z,47.2064,
2020-01-23T15:15:02.364Z,47.18592,
2020-01-23T15:20:02.379Z,47.26784,
2020-01-23T15:25:02.385Z,47.34976,
2020-01-23T15:30:02.416Z,47.12448,
2020-01-23T15:35:02.415Z,47.26784,
2020-01-23T15:40:02.450Z,47.34976,
2020-01-23T15:45:02.446Z,47.18592,
2020-01-23T15:50:02.467Z,47.3088,
2020-01-23T15:55:02.483Z,47.43168,
2020-01-23T16:00:02.491Z,47.22688,
2020-01-23T16:05:02.513Z,47.26784,
2020-01-23T16:10:02.519Z,47.34976,
2020-01-23T16:15:02.548Z,48.16896,
2020-01-23T16:20:02.560Z,47.34976,
